Tweet,Time,Date
Good Morning to all BTP Friends. Follow traffic rules for your safety.,03:11:03,2016-11-15
           .          . https://t.co/GIeRyoOmXt,03:10:41,2016-11-15
"Peak hour traffic H.S.R layout towards Silk board jn on Outer ring road
And Chennasandra jn from Tin factory",13:53:06,2016-11-14
Peak hour traffic Richmond circle towards Corporation circle on Raja Ram Mohan Roy road And Coles park jn towards Thomas bakery jn,13:24:53,2016-11-14
"Peak hour traffic Mayo hall jn towards Trinity circle on M.G Road
And Mico jn from Dairy circle underpass on Bannerghatta road",12:52:06,2016-11-14
And also  Peenya towards Jalahalli cross jn on Tumkur road.,12:08:20,2016-11-14
Peak hour traffic at Basaweshwara circle from Raj bhavan road and  Garebhavi palya jn towards Bommanahalli jn on Hosur road,12:08:02,2016-11-14
" ,     .          
Good Morning,Happy Children's Day. Follow traf  https://t.co/ptGEG2jld9",03:21:10,2016-11-14
"""Happy #ChildrensDay ...Every #Child is a #Gift of Nature,Give them their #today, Give them #time to #Play and  https://t.co/rgblyLyhqb",04:08:14,2016-11-14
   .             .#GoodMorning To All. #Start Your  https://t.co/ahnZVFVekU,03:42:25,2016-11-14
